"quarter","host_id","host_n_listings_q","host_first_month_increment","host_increment_missing_n","host_increment_negative_n","host_inside_first_month_ltm","host_first_month_ltm_missing_n","host_scraped_ltm_count_unique_n","host_scraped_ltm_count","host_scraped_ltm_sum_unique_n","host_scraped_ltm_rating_sum","host_first_month_increment_match","host_first_month_increment_match_nonnegative","host_first_month_ltm_match","host_first_month_increment_match_rating_sum"
"Q124","1029021",2,0,0,0,6,0,1,8,1,32,FALSE,FALSE,FALSE,FALSE
"Q124","102940560",1,1,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","10302140",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","103030463",1,0,0,0,7,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","10309182",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","103283875",1,0,0,0,7,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","10337114",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","1033970",5,0,0,0,106,0,1,110,1,538,FALSE,FALSE,FALSE,FALSE
"Q124","103450258",3,0,0,0,28,0,1,28,1,136,FALSE,FALSE,TRUE,FALSE
"Q124","103638148",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","10365281",1,0,0,0,3,0,1,3,1,14,FALSE,FALSE,TRUE,FALSE
"Q124","10367782",1,0,0,0,16,0,1,16,1,76,FALSE,FALSE,TRUE,FALSE
"Q124","103713745",1,4,0,0,32,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","103729",1,0,0,0,2,0,1,3,1,14,FALSE,FALSE,FALSE,FALSE
"Q124","103738833",1,0,0,0,7,0,1,8,1,39,FALSE,FALSE,FALSE,FALSE
"Q124","103747506",1,0,0,0,17,0,1,49,1,243,FALSE,FALSE,FALSE,FALSE
"Q124","103841276",1,0,0,0,38,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","10388662",1,0,0,0,2,0,1,2,1,9,FALSE,FALSE,TRUE,FALSE
"Q124","103896024",1,0,0,0,1,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","10416706",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","104277076",1,0,0,0,40,0,1,76,1,371,FALSE,FALSE,FALSE,FALSE
"Q124","10428997",1,0,0,0,3,0,1,8,1,40,FALSE,FALSE,FALSE,FALSE
"Q124","10450748",1,1,0,0,22,0,1,23,1,112,FALSE,FALSE,FALSE,FALSE
"Q124","10451389",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","10457092",1,0,0,0,2,0,1,7,1,35,FALSE,FALSE,FALSE,FALSE
"Q124","10457300",1,0,0,0,9,0,1,12,1,58,FALSE,FALSE,FALSE,FALSE
"Q124","10458139",1,1,0,0,6,0,1,7,1,35,FALSE,FALSE,FALSE,FALSE
"Q124","104721305",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","104921994",1,0,0,0,4,0,1,5,1,25,FALSE,FALSE,FALSE,FALSE
"Q124","10496",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","105048475",1,0,0,0,5,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","10512098",1,0,0,0,6,0,1,6,1,29,FALSE,FALSE,TRUE,FALSE
"Q124","105154396",1,0,0,0,23,0,1,37,1,179,FALSE,FALSE,FALSE,FALSE
"Q124","105228678",1,0,0,0,6,0,1,9,1,44,FALSE,FALSE,FALSE,FALSE
"Q124","105279602",1,0,0,0,15,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","105310740",2,0,0,0,4,0,1,1,1,5,FALSE,FALSE,FALSE,FALSE
"Q124","105315535",1,0,0,0,4,0,1,4,1,20,FALSE,FALSE,TRUE,FALSE
"Q124","10533381",2,0,0,0,9,0,1,3,1,13,FALSE,FALSE,FALSE,FALSE
"Q124","105379950",1,0,0,0,7,0,1,28,1,132,FALSE,FALSE,FALSE,FALSE
"Q124","105461266",1,0,0,0,2,0,1,3,1,15,FALSE,FALSE,FALSE,FALSE
"Q124","105465646",1,0,0,0,1,0,1,1,1,3,FALSE,FALSE,TRUE,FALSE
"Q124","10547661",1,1,0,0,36,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","10557507",2,0,0,0,3,0,1,3,1,15,FALSE,FALSE,TRUE,FALSE
"Q124","105596615",1,0,0,0,4,0,1,4,1,18,FALSE,FALSE,TRUE,FALSE
"Q124","105616582",1,0,0,0,7,0,1,8,1,36,FALSE,FALSE,FALSE,FALSE
"Q124","105640471",1,0,0,0,2,0,1,2,1,9,FALSE,FALSE,TRUE,FALSE
"Q124","105692628",1,0,0,0,16,0,1,17,1,82,FALSE,FALSE,FALSE,FALSE
"Q124","105717256",1,1,0,0,31,0,1,33,1,157,FALSE,FALSE,FALSE,FALSE
"Q124","10573404",1,0,0,0,3,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","10577784",1,0,0,0,18,0,1,5,1,24,FALSE,FALSE,FALSE,FALSE
"Q124","106265221",1,1,0,0,18,0,1,18,1,88,FALSE,FALSE,TRUE,FALSE
"Q124","106282931",1,1,0,0,21,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","10630723",2,3,0,0,81,0,1,81,1,398,FALSE,FALSE,TRUE,FALSE
"Q124","10656683",1,0,0,0,1,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","106633183",1,0,0,0,4,0,1,4,1,19,FALSE,FALSE,TRUE,FALSE
"Q124","107090124",1,0,0,0,19,0,1,19,1,94,FALSE,FALSE,TRUE,FALSE
"Q124","10710522",1,1,0,0,3,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","10716114",1,0,0,0,4,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","107187341",3,0,0,0,62,0,1,63,1,309,FALSE,FALSE,FALSE,FALSE
"Q124","10721093",1,0,0,0,1,0,1,1,1,4,FALSE,FALSE,TRUE,FALSE
"Q124","107294313",1,0,0,0,13,0,1,14,1,68,FALSE,FALSE,FALSE,FALSE
"Q124","107299996",1,0,0,0,3,0,1,3,1,12,FALSE,FALSE,TRUE,FALSE
"Q124","107412747",1,0,0,0,5,0,1,5,1,25,FALSE,FALSE,TRUE,FALSE
"Q124","107434423",29,5,0,0,30,0,1,42,1,172,FALSE,FALSE,FALSE,FALSE
"Q124","107462006",1,0,0,0,5,0,1,7,1,35,FALSE,FALSE,FALSE,FALSE
"Q124","107516522",1,0,0,0,12,0,1,35,1,170,FALSE,FALSE,FALSE,FALSE
"Q124","10767841",1,0,0,0,3,0,1,3,1,15,FALSE,FALSE,TRUE,FALSE
"Q124","107712101",2,0,0,0,23,0,1,24,1,119,FALSE,FALSE,FALSE,FALSE
"Q124","10777266",1,0,0,0,25,0,1,31,1,153,FALSE,FALSE,FALSE,FALSE
"Q124","10777921",1,0,0,0,32,0,1,0,1,0,TRUE,TRUE,FALSE,TRUE
"Q124","10784441",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","10785187",1,1,0,0,35,0,1,35,1,170,FALSE,FALSE,TRUE,FALSE
"Q124","107890530",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","107939984",1,0,0,0,5,0,1,5,1,25,FALSE,FALSE,TRUE,FALSE
"Q124","107952354",1,0,0,0,1,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","108055585",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","108249932",2,1,0,0,52,0,1,28,1,129,FALSE,FALSE,FALSE,FALSE
"Q124","10839658",1,0,0,0,1,0,1,13,1,60,FALSE,FALSE,FALSE,FALSE
"Q124","108435759",1,1,0,0,43,0,1,43,1,214,FALSE,FALSE,TRUE,FALSE
"Q124","10856865",1,0,0,0,4,0,1,8,1,40,FALSE,FALSE,FALSE,FALSE
"Q124","108699045",1,0,0,0,8,0,1,9,1,42,FALSE,FALSE,FALSE,FALSE
"Q124","108712614",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","10909829",2,0,0,0,3,0,1,3,1,14,FALSE,FALSE,TRUE,FALSE
"Q124","109196592",1,0,0,0,10,0,1,10,1,48,FALSE,FALSE,TRUE,FALSE
"Q124","10921790",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","109327526",1,1,0,0,30,0,1,31,1,134,FALSE,FALSE,FALSE,FALSE
"Q124","109442039",1,0,0,0,3,0,1,3,1,13,FALSE,FALSE,TRUE,FALSE
"Q124","109671307",1,0,0,0,7,0,1,46,1,212,FALSE,FALSE,FALSE,FALSE
"Q124","109738",1,2,0,0,5,0,1,5,1,22,FALSE,FALSE,TRUE,FALSE
"Q124","10981634",1,0,0,0,1,0,1,20,1,93,FALSE,FALSE,FALSE,FALSE
"Q124","10987233",1,0,0,0,3,0,1,3,1,13,FALSE,FALSE,TRUE,FALSE
"Q124","1098902",1,1,0,0,29,0,1,30,1,143,FALSE,FALSE,FALSE,FALSE
"Q124","10992588",1,0,0,0,3,0,1,3,1,15,FALSE,FALSE,TRUE,FALSE
"Q124","110049608",1,0,0,0,29,0,1,29,1,144,FALSE,FALSE,TRUE,FALSE
"Q124","110062117",1,0,0,0,24,0,1,25,1,123,FALSE,FALSE,FALSE,FALSE
"Q124","110184707",1,0,0,0,9,0,1,9,1,43,FALSE,FALSE,TRUE,FALSE
"Q124","110209652",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","11027691",1,1,0,0,26,0,1,36,1,170,FALSE,FALSE,FALSE,FALSE
"Q124","110321529",1,0,0,0,3,0,1,42,1,199,FALSE,FALSE,FALSE,FALSE
"Q124","110367811",1,0,0,0,28,0,1,29,1,144,FALSE,FALSE,FALSE,FALSE
"Q124","11052073",1,0,0,0,14,0,1,26,1,130,FALSE,FALSE,FALSE,FALSE
"Q124","11063315",1,0,0,0,6,0,1,16,1,80,FALSE,FALSE,FALSE,FALSE
"Q124","1107305",1,0,0,0,17,0,1,17,1,83,FALSE,FALSE,TRUE,FALSE
"Q124","11078770",1,0,0,0,27,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","110861450",1,6,0,0,53,0,1,53,1,265,FALSE,FALSE,TRUE,FALSE
"Q124","111327104",1,0,0,0,20,0,1,21,1,102,FALSE,FALSE,FALSE,FALSE
"Q124","11134859",1,1,0,0,29,0,1,68,1,312,FALSE,FALSE,FALSE,FALSE
"Q124","11135038",1,0,0,0,2,0,1,918,1,4533,FALSE,FALSE,FALSE,FALSE
"Q124","11164502",1,0,0,0,2,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","11176329",1,0,0,0,7,0,1,7,1,35,FALSE,FALSE,TRUE,FALSE
"Q124","11189753",4,0,0,0,12,0,1,14,1,70,FALSE,FALSE,FALSE,FALSE
"Q124","1119058",1,0,0,0,3,0,1,3,1,15,FALSE,FALSE,TRUE,FALSE
"Q124","1119209",1,1,0,0,4,0,1,3,1,15,FALSE,FALSE,FALSE,FALSE
"Q124","111968083",1,0,0,0,4,0,1,4,1,20,FALSE,FALSE,TRUE,FALSE
"Q124","1121064",1,0,0,0,34,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","112142263",1,5,0,0,95,0,1,98,1,482,FALSE,FALSE,FALSE,FALSE
"Q124","112176279",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","11249746",1,0,0,0,9,0,1,9,1,45,FALSE,FALSE,TRUE,FALSE
"Q124","11280333",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","112814443",2,10,0,0,134,0,1,142,1,697,FALSE,FALSE,FALSE,FALSE
"Q124","112820798",1,0,0,0,41,0,1,41,1,204,FALSE,FALSE,TRUE,FALSE
"Q124","112901574",1,2,0,0,28,0,1,140,1,663,FALSE,FALSE,FALSE,FALSE
"Q124","112932058",2,2,0,0,11,0,1,17,1,85,FALSE,FALSE,FALSE,FALSE
"Q124","11305249",1,0,0,0,32,0,1,32,1,151,FALSE,FALSE,TRUE,FALSE
"Q124","11305944",1,0,0,0,19,0,1,20,1,87,FALSE,FALSE,FALSE,FALSE
"Q124","11307072",1,0,0,0,8,0,1,8,1,36,FALSE,FALSE,TRUE,FALSE
"Q124","11310249",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","113260524",1,0,0,0,4,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","11340369",1,0,0,0,2,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","113460991",1,0,0,0,3,0,1,3,1,14,FALSE,FALSE,TRUE,FALSE
"Q124","113471507",1,1,0,0,27,0,1,28,1,135,FALSE,FALSE,FALSE,FALSE
"Q124","113585636",1,0,0,0,3,0,1,3,1,15,FALSE,FALSE,TRUE,FALSE
"Q124","11369454",2,2,0,0,85,0,1,87,1,425,FALSE,FALSE,FALSE,FALSE
"Q124","113723310",38,3,0,0,80,0,1,86,1,394,FALSE,FALSE,FALSE,FALSE
"Q124","113927793",1,0,0,0,6,0,1,7,1,33,FALSE,FALSE,FALSE,FALSE
"Q124","114096166",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","114178652",2,0,0,0,7,0,1,37,1,183,FALSE,FALSE,FALSE,FALSE
"Q124","114216912",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","114219274",1,0,0,0,2,0,1,26,1,126,FALSE,FALSE,FALSE,FALSE
"Q124","1142835",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","11457199",1,0,0,0,2,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","114590",1,0,0,0,4,0,1,4,1,20,FALSE,FALSE,TRUE,FALSE
"Q124","114736959",3,0,0,0,41,0,1,85,1,407,FALSE,FALSE,FALSE,FALSE
"Q124","114851446",1,0,0,0,4,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","114867228",1,0,0,0,5,0,1,5,1,24,FALSE,FALSE,TRUE,FALSE
"Q124","114894062",1,1,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","1149419",1,0,0,0,2,0,1,6,1,28,FALSE,FALSE,FALSE,FALSE
"Q124","11501956",1,0,0,0,9,0,1,9,1,45,FALSE,FALSE,TRUE,FALSE
"Q124","115057851",1,1,0,0,21,0,1,40,1,191,FALSE,FALSE,FALSE,FALSE
"Q124","115084419",1,0,0,0,2,0,1,2,1,8,FALSE,FALSE,TRUE,FALSE
"Q124","1153993",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","11549078",1,1,0,0,28,0,1,28,1,133,FALSE,FALSE,TRUE,FALSE
"Q124","115543887",1,1,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","1157105",1,0,0,0,9,0,1,9,1,45,FALSE,FALSE,TRUE,FALSE
"Q124","11573876",1,0,0,0,1,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","115827173",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","116067987",2,1,0,0,5,0,1,6,1,29,FALSE,FALSE,FALSE,FALSE
"Q124","11638358",1,0,0,0,2,0,1,13,1,62,FALSE,FALSE,FALSE,FALSE
"Q124","116404073",1,0,0,0,3,0,1,28,1,139,FALSE,FALSE,FALSE,FALSE
"Q124","11651884",1,0,0,0,23,0,1,24,1,120,FALSE,FALSE,FALSE,FALSE
"Q124","11656180",1,0,0,0,4,0,1,4,1,19,FALSE,FALSE,TRUE,FALSE
"Q124","116596381",2,4,0,0,42,0,1,42,1,197,FALSE,FALSE,TRUE,FALSE
"Q124","116865007",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","116914541",1,0,0,0,20,0,1,20,1,93,FALSE,FALSE,TRUE,FALSE
"Q124","117540494",1,1,0,0,10,0,1,10,1,48,FALSE,FALSE,TRUE,FALSE
"Q124","117543014",1,1,0,0,20,0,1,20,1,96,FALSE,FALSE,TRUE,FALSE
"Q124","117563787",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","117702008",1,0,0,0,3,0,1,3,1,14,FALSE,FALSE,TRUE,FALSE
"Q124","11775328",1,0,0,0,3,0,1,3,1,15,FALSE,FALSE,TRUE,FALSE
"Q124","1177947",1,1,0,0,5,0,1,5,1,25,FALSE,FALSE,TRUE,FALSE
"Q124","11787695",1,1,0,0,27,0,1,28,1,136,FALSE,FALSE,FALSE,FALSE
"Q124","117932348",3,0,0,0,8,0,1,8,1,39,FALSE,FALSE,TRUE,FALSE
"Q124","118029044",1,0,0,0,3,0,1,11,1,46,FALSE,FALSE,FALSE,FALSE
"Q124","11812868",1,0,0,0,19,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","118248883",1,1,0,0,37,0,1,37,1,170,FALSE,FALSE,TRUE,FALSE
"Q124","118276455",1,0,0,0,4,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","118404940",1,0,0,0,22,0,1,22,1,106,FALSE,FALSE,TRUE,FALSE
"Q124","11855341",1,0,0,0,33,0,1,34,1,170,FALSE,FALSE,FALSE,FALSE
"Q124","118770743",1,0,0,0,3,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","11904916",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","11913277",1,0,0,0,2,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","11941241",1,0,0,0,6,0,1,6,1,29,FALSE,FALSE,TRUE,FALSE
"Q124","119441",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","11951664",1,0,0,0,19,0,1,19,1,91,FALSE,FALSE,TRUE,FALSE
"Q124","119548006",1,1,0,0,26,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","119926735",1,0,0,0,5,0,1,5,1,24,FALSE,FALSE,TRUE,FALSE
"Q124","120115594",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","120245209",1,0,0,0,37,0,1,68,1,331,FALSE,FALSE,FALSE,FALSE
"Q124","120745552",1,0,0,0,4,0,1,5,1,21,FALSE,FALSE,FALSE,FALSE
"Q124","120762452",16,4,0,0,34,0,1,36,1,173,FALSE,FALSE,FALSE,FALSE
"Q124","120779133",1,1,0,0,17,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","1209728",1,0,0,0,6,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","120974884",2,0,0,0,9,0,1,27,1,134,FALSE,FALSE,FALSE,FALSE
"Q124","12104046",2,1,0,0,27,0,1,29,1,142,FALSE,FALSE,FALSE,FALSE
"Q124","12123995",2,1,0,0,86,0,1,124,1,606,FALSE,FALSE,FALSE,FALSE
"Q124","12126255",1,0,0,0,4,0,1,5,1,23,FALSE,FALSE,FALSE,FALSE
"Q124","12133063",1,0,0,0,8,0,1,8,1,40,FALSE,FALSE,TRUE,FALSE
"Q124","121399223",5,3,0,0,120,0,1,158,1,766,FALSE,FALSE,FALSE,FALSE
"Q124","121434641",1,0,0,0,24,0,1,25,1,121,FALSE,FALSE,FALSE,FALSE
"Q124","12146974",1,1,0,0,43,0,1,66,1,327,FALSE,FALSE,FALSE,FALSE
"Q124","12155032",1,0,0,0,22,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","121578156",1,0,0,0,32,0,1,32,1,159,FALSE,FALSE,TRUE,FALSE
"Q124","121822",1,0,0,0,2,0,1,2,1,9,FALSE,FALSE,TRUE,FALSE
"Q124","121851703",2,0,0,0,7,0,1,7,1,35,FALSE,FALSE,TRUE,FALSE
"Q124","12197079",4,5,0,0,51,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","122044489",1,0,0,0,11,0,1,0,1,0,TRUE,TRUE,FALSE,TRUE
"Q124","122237917",1,0,0,0,6,0,1,6,1,27,FALSE,FALSE,TRUE,FALSE
"Q124","12246186",1,0,0,0,18,0,1,37,1,180,FALSE,FALSE,FALSE,FALSE
"Q124","12254381",1,0,0,0,5,0,1,5,1,25,FALSE,FALSE,TRUE,FALSE
"Q124","122582729",1,0,0,0,1,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","122726779",1,0,0,0,3,0,1,3,1,15,FALSE,FALSE,TRUE,FALSE
"Q124","122877644",1,0,0,0,2,0,1,2,1,6,FALSE,FALSE,TRUE,FALSE
"Q124","122884945",1,0,0,0,31,0,1,32,1,157,FALSE,FALSE,FALSE,FALSE
"Q124","123048179",1,0,0,0,8,0,1,8,1,36,FALSE,FALSE,TRUE,FALSE
"Q124","12327430",1,4,0,0,40,0,1,41,1,195,FALSE,FALSE,FALSE,FALSE
"Q124","1234405",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","123518076",1,0,0,0,18,0,1,35,1,164,FALSE,FALSE,FALSE,FALSE
"Q124","1236070",1,0,0,0,6,0,1,6,1,30,FALSE,FALSE,TRUE,FALSE
"Q124","123634626",2,0,0,0,8,0,1,10,1,39,FALSE,FALSE,FALSE,FALSE
"Q124","1236817",1,0,0,0,5,0,1,5,1,25,FALSE,FALSE,TRUE,FALSE
"Q124","12384385",1,0,0,0,1,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","12388432",1,0,0,0,5,0,1,6,1,30,FALSE,FALSE,FALSE,FALSE
"Q124","123953239",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","12456525",1,1,0,0,5,0,1,5,1,25,FALSE,FALSE,TRUE,FALSE
"Q124","124580765",1,1,0,0,23,0,1,24,1,114,FALSE,FALSE,FALSE,FALSE
"Q124","12461078",1,0,0,0,19,0,1,21,1,104,FALSE,FALSE,FALSE,FALSE
"Q124","12474702",1,1,0,0,2,0,1,33,1,165,FALSE,FALSE,FALSE,FALSE
"Q124","12485770",2,0,0,0,3,0,1,6,1,23,FALSE,FALSE,FALSE,FALSE
"Q124","12502207",1,0,0,0,1,0,1,3,1,11,FALSE,FALSE,FALSE,FALSE
"Q124","12528462",1,0,0,0,4,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","12533228",1,0,0,0,4,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","125508339",1,1,0,0,6,0,1,6,1,30,FALSE,FALSE,TRUE,FALSE
"Q124","12551625",1,0,0,0,35,0,1,35,1,173,FALSE,FALSE,TRUE,FALSE
"Q124","125598078",1,0,0,0,6,0,1,6,1,30,FALSE,FALSE,TRUE,FALSE
