"quarter","host_id","host_n_listings_q","any_full","any_panel_b","any_panel_b_ex2","scraped_unique_n","scraped","inside_ex_ltm","inside_ex_missing_n","inside_first_ltm","inside_first_missing_n","inside_current_ltm","inside_current_missing_n","calc_host_listings","host_listings","host_total_listings","any_previous_scrape","diff_ex","diff_first","diff_current","abs_diff_ex","abs_diff_first","abs_diff_current","best_inside_snapshot","exact_ex","exact_first","exact_current","within1_ex","within2_ex","scraped_gt_ex","inside_gt_ex","observed_all_calc_listings","observed_lt_calc_listings","single_listing_host_q"
"Q124","100691968",1,TRUE,FALSE,FALSE,0,NA,9,0,9,0,9,0,1,1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","100982305",1,TRUE,TRUE,FALSE,1,10,12,0,10,0,10,0,1,1,1,FALSE,-2,0,0,2,0,0,"first_month_ltm",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","1010743",1,TRUE,FALSE,FALSE,1,3,3,0,3,0,3,0,1,1,8,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10125456",1,TRUE,TRUE,FALSE,1,13,13,0,13,0,12,0,1,1,2,FALSE,0,0,1,0,0,1,"ex_quarter_ltm",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","101267763",1,TRUE,TRUE,FALSE,1,25,26,0,25,0,23,0,1,1,2,FALSE,-1,0,2,1,0,2,"first_month_ltm",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","101435219",2,TRUE,FALSE,FALSE,1,33,38,0,31,0,30,0,2,2,2,FALSE,-5,2,3,5,2,3,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Q124","10149317",1,TRUE,FALSE,FALSE,1,58,4,0,5,0,5,0,17,19,35,FALSE,54,53,53,54,53,53,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","10154339",1,TRUE,TRUE,FALSE,1,2,2,0,2,0,2,0,1,1,1,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10160214",1,TRUE,FALSE,FALSE,1,7,3,0,3,0,3,0,1,2,2,FALSE,4,4,4,4,4,4,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","10162189",1,TRUE,TRUE,FALSE,1,24,27,0,23,0,22,0,1,1,1,FALSE,-3,1,2,3,1,2,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","101841464",1,TRUE,TRUE,FALSE,1,1,1,0,1,0,1,0,1,1,2,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","101883929",1,TRUE,FALSE,FALSE,1,30,31,0,29,0,29,0,1,1,1,FALSE,-1,1,1,1,1,1,"ex_quarter_ltm",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","10194781",9,TRUE,FALSE,FALSE,1,152,156,0,128,0,123,0,10,10,10,FALSE,-4,24,29,4,24,29,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Q124","1019709",1,TRUE,TRUE,FALSE,1,6,2,0,2,0,3,0,1,3,4,FALSE,4,4,3,4,4,3,"current_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","101971358",1,TRUE,TRUE,TRUE,1,4,4,0,4,0,4,0,1,1,1,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10197436",1,TRUE,FALSE,FALSE,1,33,37,0,32,0,31,0,1,1,1,FALSE,-4,1,2,4,1,2,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","10198498",1,TRUE,TRUE,FALSE,1,2,2,0,2,0,2,0,1,2,2,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","1020258",1,TRUE,TRUE,FALSE,1,5,6,0,5,0,5,0,1,1,2,FALSE,-1,0,0,1,0,0,"first_month_ltm",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","102080453",1,TRUE,TRUE,FALSE,0,NA,1,0,1,0,1,0,1,1,5,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","1021060",1,TRUE,FALSE,FALSE,1,39,41,0,39,0,38,0,1,1,1,FALSE,-2,0,1,2,0,1,"first_month_ltm",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","10212139",1,TRUE,FALSE,FALSE,1,23,7,0,6,0,6,0,1,2,2,FALSE,16,17,17,16,17,17,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","102251846",1,TRUE,FALSE,FALSE,1,33,39,0,32,0,32,0,1,1,1,FALSE,-6,1,1,6,1,1,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","10225447",1,TRUE,TRUE,FALSE,1,1,1,0,1,0,1,0,1,1,1,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10239152",1,TRUE,TRUE,FALSE,1,4,3,0,4,0,4,0,1,1,1,FALSE,1,0,0,1,0,0,"first_month_ltm",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","102415020",1,TRUE,FALSE,FALSE,1,1,1,0,1,0,1,0,1,1,1,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10242065",1,TRUE,TRUE,FALSE,1,4,4,0,4,0,4,0,1,1,1,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10243387",1,TRUE,FALSE,FALSE,1,27,28,0,26,0,23,0,2,2,8,FALSE,-1,1,4,1,1,4,"ex_quarter_ltm",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"Q124","102498043",1,TRUE,FALSE,FALSE,0,NA,31,0,26,0,24,0,1,3,6,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","10259705",1,TRUE,TRUE,FALSE,1,9,7,0,6,0,6,0,1,2,5,FALSE,2,3,3,2,3,3,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","102618751",1,TRUE,TRUE,FALSE,1,35,6,0,5,0,5,0,3,3,3,FALSE,29,30,30,29,30,30,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","10263251",1,TRUE,TRUE,FALSE,1,34,31,0,26,0,25,0,3,3,3,FALSE,3,8,9,3,8,9,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","102754726",1,TRUE,TRUE,FALSE,1,8,9,0,7,0,7,0,1,1,7,FALSE,-1,1,1,1,1,1,"ex_quarter_ltm",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","1029021",2,TRUE,TRUE,FALSE,1,8,6,0,6,0,6,0,4,5,8,FALSE,2,2,2,2,2,2,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Q124","102940560",1,TRUE,TRUE,FALSE,1,2,1,0,2,0,2,0,1,1,3,FALSE,1,0,0,1,0,0,"first_month_ltm",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","10302140",1,TRUE,FALSE,FALSE,1,1,2,0,1,0,1,0,1,1,1,FALSE,-1,0,0,1,0,0,"first_month_ltm",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","103030463",1,TRUE,TRUE,FALSE,0,NA,7,0,7,0,7,0,1,1,3,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","10309182",1,TRUE,TRUE,FALSE,1,1,1,0,1,0,1,0,1,1,1,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","103283875",1,TRUE,TRUE,FALSE,0,NA,9,0,7,0,6,0,1,2,2,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","10337114",1,TRUE,FALSE,FALSE,1,2,3,0,2,0,1,0,1,1,1,FALSE,-1,0,1,1,0,1,"first_month_ltm",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","1033970",5,TRUE,FALSE,FALSE,1,110,120,0,106,0,103,0,8,8,9,FALSE,-10,4,7,10,4,7,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Q124","103450258",3,TRUE,FALSE,FALSE,1,28,31,0,28,0,26,0,4,6,6,FALSE,-3,0,2,3,0,2,"first_month_ltm",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Q124","103638148",1,TRUE,TRUE,FALSE,1,1,1,0,1,0,2,0,1,1,1,FALSE,0,0,-1,0,0,1,"ex_quarter_ltm",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10365281",1,TRUE,FALSE,FALSE,1,3,4,0,3,0,3,0,1,1,4,FALSE,-1,0,0,1,0,0,"first_month_ltm",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","10367782",1,TRUE,FALSE,FALSE,1,16,18,0,16,0,16,0,1,1,1,FALSE,-2,0,0,2,0,0,"first_month_ltm",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","103713745",1,TRUE,TRUE,FALSE,0,NA,33,0,32,0,35,0,3,3,3,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,TRUE
"Q124","103729",1,TRUE,TRUE,FALSE,1,3,3,0,2,0,2,0,1,2,5,FALSE,0,1,1,0,1,1,"ex_quarter_ltm",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","103738833",1,TRUE,FALSE,FALSE,1,8,9,0,7,0,7,0,1,1,2,FALSE,-1,1,1,1,1,1,"ex_quarter_ltm",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","103747506",1,TRUE,FALSE,FALSE,1,49,17,0,17,0,17,0,4,4,4,FALSE,32,32,32,32,32,32,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","103841276",1,TRUE,TRUE,FALSE,0,NA,42,0,38,0,37,0,2,2,15,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,TRUE
"Q124","10388662",1,TRUE,TRUE,FALSE,1,2,2,0,2,0,2,0,1,1,1,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","103896024",1,TRUE,TRUE,FALSE,0,NA,1,0,1,0,1,0,1,3,3,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","10416706",1,TRUE,TRUE,FALSE,1,1,1,0,1,0,1,0,1,1,4,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","104277076",1,TRUE,FALSE,FALSE,1,76,44,0,40,0,38,0,2,2,2,FALSE,32,36,38,32,36,38,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","10428997",1,TRUE,FALSE,FALSE,1,8,3,0,3,0,4,0,2,2,2,FALSE,5,5,4,5,5,4,"current_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","10450748",1,TRUE,FALSE,FALSE,1,23,25,0,22,0,22,0,2,2,3,FALSE,-2,1,1,2,1,1,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"Q124","10451389",1,TRUE,FALSE,FALSE,1,2,2,0,2,0,2,0,1,1,1,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10457092",1,TRUE,FALSE,FALSE,1,7,2,0,2,0,2,0,4,4,4,FALSE,5,5,5,5,5,5,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","10457300",1,TRUE,FALSE,FALSE,1,12,10,0,9,0,9,0,2,2,2,FALSE,2,3,3,2,3,3,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","10458139",1,TRUE,FALSE,FALSE,1,7,8,0,6,0,6,0,1,1,3,FALSE,-1,1,1,1,1,1,"ex_quarter_ltm",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","104721305",1,TRUE,TRUE,FALSE,1,2,2,0,2,0,2,0,2,2,3,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"Q124","104921994",1,TRUE,FALSE,FALSE,1,5,4,0,4,0,5,0,1,1,1,FALSE,1,1,0,1,1,0,"current_month_ltm",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","10496",1,TRUE,FALSE,FALSE,1,1,1,0,1,0,1,0,1,1,3,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","105048475",1,TRUE,TRUE,FALSE,0,NA,5,0,5,0,5,0,1,1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","10512098",1,TRUE,FALSE,FALSE,1,6,6,0,6,0,7,0,1,1,4,FALSE,0,0,-1,0,0,1,"ex_quarter_ltm",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","105154396",1,TRUE,FALSE,FALSE,1,37,27,0,23,0,23,0,1,2,2,FALSE,10,14,14,10,14,14,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","105228678",1,TRUE,FALSE,FALSE,1,9,6,0,6,0,4,0,2,2,4,FALSE,3,3,5,3,3,5,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","105279602",1,TRUE,TRUE,FALSE,0,NA,16,0,15,0,15,0,1,1,3,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","105310740",2,TRUE,TRUE,FALSE,1,1,4,0,4,0,6,0,2,2,4,FALSE,-3,-3,-5,3,3,5,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Q124","105315535",1,TRUE,FALSE,FALSE,1,4,4,0,4,0,4,0,1,1,19,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10533381",2,TRUE,TRUE,FALSE,1,3,9,0,9,0,10,0,2,2,9,FALSE,-6,-6,-7,6,6,7,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Q124","105379950",1,TRUE,TRUE,FALSE,1,28,8,0,7,0,7,0,4,4,8,FALSE,20,21,21,20,21,21,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","105461266",1,TRUE,TRUE,FALSE,1,3,2,0,2,0,2,0,1,2,2,FALSE,1,1,1,1,1,1,"ex_quarter_ltm",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","105465646",1,TRUE,TRUE,FALSE,1,1,1,0,1,0,1,0,1,1,1,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10547661",1,TRUE,TRUE,FALSE,0,NA,41,0,36,0,31,0,1,1,2,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","10557507",2,TRUE,FALSE,FALSE,1,3,3,0,3,0,3,0,2,8,8,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"Q124","105596615",1,TRUE,TRUE,FALSE,1,4,4,0,4,0,4,0,1,1,1,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","105616582",1,TRUE,TRUE,FALSE,1,8,10,0,7,0,7,0,3,3,11,FALSE,-2,1,1,2,1,1,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"Q124","105640471",1,TRUE,TRUE,FALSE,1,2,2,0,2,0,3,0,1,1,9,FALSE,0,0,-1,0,0,1,"ex_quarter_ltm",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","105692628",1,TRUE,TRUE,FALSE,1,17,20,0,16,0,15,0,1,1,4,FALSE,-3,1,2,3,1,2,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","105717256",1,TRUE,FALSE,FALSE,1,33,34,0,31,0,30,0,1,1,1,FALSE,-1,2,3,1,2,3,"ex_quarter_ltm",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","10573404",1,TRUE,TRUE,FALSE,0,NA,3,0,3,0,3,0,1,1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","10577784",1,TRUE,FALSE,FALSE,1,5,22,0,18,0,18,0,2,2,3,FALSE,-17,-13,-13,17,13,13,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"Q124","106265221",1,TRUE,FALSE,FALSE,1,18,20,0,18,0,17,0,1,1,1,FALSE,-2,0,1,2,0,1,"first_month_ltm",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","106282931",1,TRUE,FALSE,FALSE,0,NA,23,0,21,0,20,0,2,2,2,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,TRUE
"Q124","10630723",2,TRUE,FALSE,FALSE,1,81,87,0,81,0,78,0,2,7,9,FALSE,-6,0,3,6,0,3,"first_month_ltm",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Q124","10656683",1,TRUE,TRUE,TRUE,0,NA,1,0,1,0,1,0,1,1,5,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","106633183",1,TRUE,TRUE,FALSE,1,4,4,0,4,0,3,0,1,1,1,FALSE,0,0,1,0,0,1,"ex_quarter_ltm",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","107090124",1,TRUE,FALSE,FALSE,1,19,21,0,19,0,19,0,1,1,2,FALSE,-2,0,0,2,0,0,"first_month_ltm",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","10710522",1,TRUE,FALSE,FALSE,0,NA,2,0,3,0,3,0,1,1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE
"Q124","10716114",1,TRUE,TRUE,FALSE,0,NA,4,0,4,0,4,0,2,2,2,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,TRUE
"Q124","107187341",3,TRUE,FALSE,FALSE,1,63,67,0,62,0,58,0,3,3,4,FALSE,-4,1,5,4,1,5,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Q124","10721093",1,TRUE,TRUE,FALSE,1,1,1,0,1,0,1,0,1,1,2,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","107294313",1,TRUE,FALSE,FALSE,1,14,15,0,13,0,13,0,1,1,1,FALSE,-1,1,1,1,1,1,"ex_quarter_ltm",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","107299996",1,TRUE,TRUE,FALSE,1,3,3,0,3,0,3,0,1,1,2,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","107412747",1,TRUE,TRUE,TRUE,1,5,6,0,5,0,5,0,1,1,5,FALSE,-1,0,0,1,0,0,"first_month_ltm",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","107434423",29,TRUE,TRUE,FALSE,1,42,25,0,30,0,28,0,827,5110,6838,FALSE,17,12,14,17,12,14,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"Q124","107462006",1,TRUE,FALSE,FALSE,1,7,6,0,5,0,6,0,2,2,2,FALSE,1,2,1,1,2,1,"ex_quarter_ltm",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
